iter	Passed	Remaining
455	949	1133
456	951	1130
457	953	1128
458	955	1125
459	957	1124
460	959	1121
461	960	1119
462	962	1116
463	964	1113
464	965	1111
465	967	1109
466	969	1106
467	972	1105
468	975	1103
469	977	1101
470	978	1099
471	980	1096
472	982	1094
473	983	1091
474	986	1090
475	988	1088
476	990	1085
477	991	1083
478	993	1080
479	995	1078
480	996	1075
481	998	1072
482	1000	1070
483	1002	1068
484	1004	1066
485	1005	1063
486	1007	1061
487	1009	1058
488	1010	1056
489	1012	1053
490	1013	1050
491	1016	1049
492	1018	1047
493	1021	1046
494	1023	1044
495	1025	1041
496	1027	1039
497	1028	1037
498	1030	1035
499	1032	1032
500	1034	1030
501	1036	1028
502	1038	1026
503	1040	1023
504	1042	1021
505	1044	1019
506	1047	1018
507	1050	1017
508	1052	1015
509	1055	1013
510	1057	1011
511	1063	1013
512	1066	1012
513	1069	1011
514	1072	1009
515	1076	1009
516	1079	1008
517	1081	1005
518	1083	1004
519	1086	1002
520	1087	1000
521	1090	998
522	1093	997
523	1095	995
524	1098	993
525	1101	992
526	1102	989
527	1105	988
528	1107	986
529	1110	984
530	1112	982
531	1114	980
532	1118	979
533	1123	979
534	1125	977
535	1127	976
536	1129	973
537	1131	971
538	1133	969
539	1136	968
540	1139	966
541	1141	964
542	1144	963
543	1146	960
544	1148	959
545	1152	958
546	1154	956
547	1156	954
548	1158	951
549	1160	949
550	1163	947
551	1165	946
552	1167	944
553	1169	941
554	1172	939
555	1174	937
556	1176	935
557	1180	934
558	1183	933
559	1185	931
560	1186	928
561	1189	926
562	1191	924
563	1195	923
564	1197	921
565	1199	919
566	1201	917
567	1203	915
568	1205	913
569	1208	911
570	1211	910
571	1214	908
572	1216	906
573	1218	904
574	1220	902
575	1222	899
576	1226	898
577	1228	897
578	1230	895
579	1232	892
580	1234	890
581	1237	889
582	1240	887
583	1242	885
584	1244	883
585	1247	881
586	1249	878
587	1251	876
588	1267	884
589	1272	884
590	1275	882
591	1278	880
592	1280	879
593	1285	878
594	1287	876
595	1290	874
596	1293	872
597	1295	870
598	1298	869
599	1304	869
600	1307	867
601	1312	867
602	1316	866
603	1320	865
604	1324	864
605	1328	863
606	1332	862
607	1335	861
608	1339	860
609	1342	858
610	1345	856
611	1349	855
612	1351	853
613	1353	851
614	1356	849
615	1359	847
616	1362	845
617	1365	843
618	1367	841
619	1369	839
620	1371	837
621	1374	835
622	1376	833
623	1379	831
624	1381	828
625	1383	826
626	1385	824
627	1387	821
628	1389	819
629	1392	817
630	1393	815
631	1396	812
632	1398	811
633	1400	808
634	1403	806
635	1405	804
636	1408	802
637	1410	800
638	1412	797
639	1414	795
640	1416	793
641	1418	791
642	1421	789
643	1423	786
644	1426	784
645	1428	782
646	1430	780
647	1432	778
648	1435	776
649	1437	774
650	1440	771
651	1442	769
652	1444	767
653	1446	765
654	1449	763
655	1451	761
656	1453	758
657	1455	756
658	1457	754
659	1459	751
660	1461	749
661	1464	747
662	1466	745
663	1468	743
664	1470	740
665	1472	738
666	1474	735
667	1476	733
668	1478	731
669	1481	729
670	1483	727
671	1485	724
672	1487	722
673	1489	720
674	1492	718
675	1495	716
676	1498	714
677	1500	712
678	1502	710
679	1504	707
680	1506	705
681	1508	703
682	1511	701
683	1513	699
684	1516	697
685	1518	694
686	1521	693
687	1525	691
688	1527	689
689	1529	687
690	1532	685
691	1534	682
692	1536	680
693	1539	678
694	1541	676
695	1543	674
696	1546	672
697	1548	669
698	1550	667
699	1552	665
700	1555	663
701	1557	661
702	1560	659
703	1562	656
704	1564	654
705	1566	652
706	1569	650
707	1571	648
708	1573	645
709	1575	643
710	1577	641
711	1579	639
712	1582	636
713	1585	634
714	1587	632
715	1589	630
716	1591	628
